Agency,id,Address,City,State,Zip,full_add,lon,lat,type,loctype,neighborhood,locality,administrative_area_level_2
Tri State Food Pantry,P651,2026 HWY 136 West,Trenton,GA,30752,"2026 HWY 136 West, City, GA  30752",-85.5505746,34.862854,premise,rooftop,NA,Trenton,Dade County
"Community Resource Center of Chattooga, Inc",P137,103 7th St,Summerville,GA,30747,"103 7th St, City, GA  30747",-85.3387676,34.4872526,street_address,range_interpolated,NA,Summerville,Chattooga County
Dry Valley Baptist Church Inc.,P181,82 Dot Johnson Rd.,Summerville,GA,30747,"82 Dot Johnson Rd., City, GA  30747",-85.324449,34.5098793,street_address,range_interpolated,NA,Summerville,Chattooga County
G Y Ministries Inc.,P254,62  Krannert Drive,Rome,GA,30165,"62  Krannert Drive, City, GA  30165",-85.3224945,34.2628737,street_address,range_interpolated,NA,Rome,Floyd County
Community Christian Council,P127,734 Bowdon St,Tallapoosa,GA,30176,"734 Bowdon St, City, GA  30176",-85.2941139,33.7606237,street_address,rooftop,NA,Tallapoosa,Haralson County
"Here I am, Inc/ The Care Mission",P300,105 North Chattanooga Street,LaFayette,GA,30728,"105 North Chattanooga Street, City, GA  30728",-85.2877295,34.7053715,street_address,rooftop,NA,LaFayette,Walker County
Hope House Ministries of Lakeview,P312,140 Nason Street,Rossville,GA,30741,"140 Nason Street, City, GA  30741",-85.2619998,34.9775884,premise,rooftop,NA,Rossville,Catoosa County
Cedartown United Fund Inc.,P087,445 S. College St,Cedartown,GA,30125,"445 S. College St, City, GA  30125",-85.2563906,34.0095413,street_address,rooftop,NA,Cedartown,Polk County
Murphy-Harpst Children's Centers,P411,740 Fletcher St.,Cedartown,GA,30125,"740 Fletcher St., City, GA  30125",-85.2437223,34.0095032,street_address,rooftop,NA,Cedartown,Polk County
"Just Us Ministries, Inc.",P340,904 Youngs Farm Rd.,Cedartown,GA,30125,"904 Youngs Farm Rd., City, GA  30125",-85.2395882,33.9403825,premise,rooftop,NA,Cedartown,Polk County
Cedar Lake Christian Center,P085,1890 Rome HWY,Cedartown,GA,30125,"1890 Rome HWY, City, GA  30125",-85.2322288,34.0536811,street_address,rooftop,NA,Cedartown,Polk County
Cedartown SDA-Good Neighbor Center,P086,71 Woodall Road,Cedartown,GA,30125,"71 Woodall Road, City, GA  30125",-85.2239459,34.0137385,street_address,rooftop,NA,Cedartown,Polk County
Blake House,P061,60 Waco School Rd,Bremen,GA,30110,"60 Waco School Rd, City, GA  30110",-85.211658,33.7159329,street_address,rooftop,NA,Bremen,Haralson County
R.A.M- West Rome Cancer Navigator,P503,1003 Shorter Ave SW,Rome,GA,30165,"1003 Shorter Ave SW, City, GA  30165",-85.2063369,34.2672029,street_address,range_interpolated,NA,Rome,Floyd County
New Life of St. John Baptist Church-Rome,P435,419 Walter Street,Rome,GA,30165,"419 Walter Street, City, GA  30165",-85.201327,34.271111,street_address,rooftop,NA,Rome,Floyd County
Arising Heights/Mission 2000,P036,500 North Division St.,Rome,GA,30165,"500 North Division St., City, GA  30165",-85.1985098,34.2707915,street_address,rooftop,NA,Rome,Floyd County
Lovejoy Baptist Church,P374,436 Branham Avenue,Rome,GA,30161,"436 Branham Avenue, City, GA  30161",-85.1833725,34.2453166,premise,rooftop,NA,Rome,Floyd County
R.A.M. - Seasonal Programs,P504,207 East 19th Street,Rome,GA,30162,"207 East 19th Street, City, GA  30162",-85.1704966,34.2299097,premise,rooftop,NA,Rome,Floyd County
R.A.M.- Journey Evening Pantry,P505,207 East 19th St.,Rome,GA,30161,"207 East 19th St., City, GA  30161",-85.1704966,34.2299097,premise,rooftop,NA,Rome,Floyd County
R.A.M.- New Beginnings,P506,207 East 19th Street,Rome,GA,30162,"207 East 19th Street, City, GA  30162",-85.1704966,34.2299097,premise,rooftop,NA,Rome,Floyd County
Rome Action Ministries-Bagwell Pantry,P528,207 East 19th Street,Rome,GA,30161,"207 East 19th Street, City, GA  30161",-85.1704966,34.2299097,premise,rooftop,NA,Rome,Floyd County
Rome Action Ministries-Polk County  Back Pack,P530,207 East 19th Street,Rome,GA,30161,"207 East 19th Street, City, GA  30161",-85.1704966,34.2299097,premise,rooftop,NA,Rome,Floyd County
Rome Urban Ministries-Backpack Buddies,P531,207 East 19th St.,Rome,GA,30162,"207 East 19th St., City, GA  30162",-85.1704966,34.2299097,premise,rooftop,NA,Rome,Floyd County
Rome Action Ministries-Bread of Life FP,P529,210 East 18th Street,Rome,GA,30161,"210 East 18th Street, City, GA  30161",-85.1678096,34.2308264,street_address,rooftop,NA,Rome,Floyd County
Metropolitan United Methodist,P391,700 Broad St,Rome,GA,30161,"700 Broad St, City, GA  30161",-85.1671166,34.2563347,street_address,rooftop,NA,Rome,Floyd County
Rome-Floyd County Community Soup Kitchen,P532,4 Calhoun Avenue,Rome,GA,30161,"4 Calhoun Avenue, City, GA  30161",-85.1561313,34.2637839,street_address,range_interpolated,NA,Rome,Floyd County
Victory Baptist Church,P666,15 Hendrix Rd,Rockmart,GA,30153,"15 Hendrix Rd, City, GA  30153",-85.1529078,34.0031418,street_address,rooftop,NA,Cedartown,Polk County
Rock Bridge Community Church-Ringgold,P525,120 Remco Shops Lane   GA,Ringgold,GA,30736,"120 Remco Shops Lane   GA, City, GA  30736",-85.1308409,34.9116641,street_address,rooftop,NA,Ringgold,Catoosa County
