UGA = 1,,Open Hand Atlanta = 2,HealthMPowers = 3,DPH = 4,,,,,,,,,,,
Agency,Date Added,"Project = Farmers Market, Elementary Youth etc.","Site Location (School district, school name, food bank, etc.)",Address building number,Street Name,City,Zip Code,County,Target Audience,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Bartow Headstart,15,Felton Place St.,Cartersville,30121,Bartow,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Habitat for Humanity,532,Barber St.,Athens,30901,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",PALS,1860,Barnett Shoals Rd.,Athens,30605,Clarke,Adults 18+,,,,,,
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Barnett Shoals Elementary School,3220,Barnett Shoals Rd.,Athens,30605,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",Kinship Care Resource Center,849,Battle Creek Rd.,Jonesboro,30236,Clayton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",The Cove,15,Liberty Square Dr.,Cartersville,30121,Bartow,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",ATCO-Senior Center,25,Relihan St.,Pearson,31642,Coffee,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",DeKalb/Atlanta Senior Center,25,Warren St.,Atlanta,30317,DeKalb,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Willacoochee Senior Center,68,Boone St.,Wilacoochee,31650,Coffee,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U, Food Talk: Farmers Market",Adams Park Library,2231,"Cambelton Rd., SW",Atlanta,30311,Fulton,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Senior Connection,1931,Candler Rd.,Decatur,30032,DeKalb,Adults 18+,,,,,,
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Chase Street Elementary School,757,Chase St.,Athens,30601,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U, Food Talk: Farmers Market",Exchange Recreation Center,2771,Columbia Dr.,Decatur,30034,DeKalb,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk:Better U",RHEMA,1850,Danielsville Rd.,Athens,30601,Clarke,Adults 18+,,,,,,
1,1/1/2018,"Food Talk, Food Talk: Better U",Dogwood Seniors,1838,Donald Lee Hollowell Pkwy NW,Atlanta,30318,Fulton,Adults 18+,,,,,,
