Type,Name,County,X,Y,addresses,Zip,FID_1,STATEFP10,COUNTYFP10,GEOID,NAME10,NAMELSAD10,totpop10,WFD,RDC_AAA,MNGWPD,MPO,MSA,F1HR_NA,F8HR_NA,Reg_Comm,Acres,Sq_Miles,Label,GlobalID,last_edite,cty_fips,data_added
UGA SNAP-Ed,Bartow Headstart,Bartow,-84.7924967,34.1953204,"15 Felton Place St., Cartersville, GA, 30121",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,Habitat for Humanity,Clarke,-83.3860425,33.967854,"532 Barber St., Athens, GA, 30901",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,PALS,Clarke,-83.341529,33.9251254,"1860 Barnett Shoals Rd., Athens, GA, 30605",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Clarke County School District: Barnett Shoals Elementary School,Clarke,-83.338064,33.902135,"3220 Barnett Shoals Rd., Athens, GA, 30605",,17,13,59,13059,Clarke,Clarke County,116714,N,N,N,N,N,N,N,Northeast Georgia,77457.20313,121.027,18,{D4F78C5D-FED9-4215-82B3-A2D1358ED328},,13059,
UGA SNAP-Ed,Kinship Care Resource Center,Clayton,-84.36449,33.554024,"849 Battle Creek Rd., Jonesboro, GA, 30236",,31,13,63,13063,Clayton,Clayton County,259424,Y,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,92354.10156,144.302994,32,{B1CDC3D4-04E4-4417-BF51-E5916A6F458E},,13063,
UGA SNAP-Ed,The Cove,Bartow,-84.7823783,34.2143312,"15 Liberty Square Dr., Cartersville, GA, 30121",,153,13,15,13015,Bartow,Bartow County,100157,N,N,Y,N,Y,N,Y,Northwest Georgia,300840,470.062988,154,{A0492A5A-1A5A-4647-B5D0-7C6E191136FE},2015-10-14T17:35:02.000Z,13015,
UGA SNAP-Ed,ATCO-Senior Center,Coffee,-82.8444869,31.292811,"25 Relihan St., Pearson, GA, 31642",,59,13,69,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.762024,60,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,13069,
UGA SNAP-Ed,Atlanta Senior Center,DeKalb,-84.3270987,33.7523649,"25 Warren St., Atlanta, GA, 30317",,132,13,89,13089,DeKalb,DeKalb County,691893,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,173496,271.087006,133,{3912F679-CB5F-4618-B448-53B943B436DF},,13089,
UGA SNAP-Ed,Willacoochee Senior Center,Coffee,-83.0496883,31.339572,"68 Boone St., Wilacoochee, GA, 31650",,59,13,69,13069,Coffee,Coffee County,42356,N,N,N,N,N,N,N,Southern Georgia,385768,602.762024,60,{FFD327B3-3942-4407-AB3E-2F27A45835CD},,13069,
UGA SNAP-Ed,Adams Park Library,Fulton,-84.4616893,33.7056988,"2231 Cambelton Rd., SW, Atlanta, GA, 30311",,86,13,121,13121,Fulton,Fulton County,920581,N,Y,Y,Y,Y,Y,Y,Atlanta Regional Commission,341906,534.229004,87,{44A3942A-9608-4E68-A927-A38721FF266D},,13121,
