id,name,address 1,address 2,city,state,zip,phone,email
1,Appling County,83 South Oak St.,,Baxley,GA,31513,912-367-8130,uge3001@uga.edu
2,Atkinson County,636 Austin Ave. East,,Pearson,GA,31642,912-422-3277,uge4003@uga.edu
3,Bacon County,203 South Dixon Street,"Ag Complex, Suite 3",Alma,GA,31510,912-632-5601,uge4005@uga.edu
4,Baker County,398 GA Highway 37 SW,Department 1,Newton,GA,39870,229-734-3015,uge4007@uga.edu
5,Baldwin County,320 Linda Drive NE,,Milledgeville,GA,31061,478-445-4394,uge3009@uga.edu
6,Banks County,413 Evans Street,,Homer,GA,30547,706-677-6230,uge1011@uga.edu
7,Barrow County,"90 Lanthier Street, Suite B",,Winder,GA,30680,770-307-3029,uge1013@uga.edu
8,Bartow County,320 West Cherokee Avenue,Room 112,Cartersville,GA,30120,770-387-5142,uge1015@uga.edu
9,Ben Hill County,406 West Palm Street,,Fitzgerald,GA,31750,229-426-5175,uge4017@uga.edu
10,Berrien County,"516A County Farm Road, Ste 1",,Nashville,GA,31639,229-686-5431,uge4019@uga.edu
11,Bibb County,145 First Street,,Macon,GA,31201,478-751-6338,uge2021@uga.edu
12,Bleckley County,165 East Peacock Street,,Cochran,GA,31014,478-934-3220,uge2023@uga.edu
13,Brantley County,10303 North Main St.,,Nahunta,GA,31553,912-462-5724,uge3025@uga.edu
14,Brooks County,400 E Courtland Avenue,,Quitman,GA,31643,229-263-4103,uge4027@uga.edu
15,Bryan County,131 N. College Street,,Pembroke,GA,31321,912-653-2231,uge3029@uga.edu
16,Bulloch County,151 Langston Chapel Road,"Bulloch Center for Agriculture, Suite 600",Statesboro,GA,30458,912-871-6130,uge3031@uga.edu
17,Burke County,715 West 6th Street,Burke County Office Park,Waynesboro,GA,30830,706-554-2119,uge3033@uga.edu
18,Butts County,576 Ernest Biles Drive,Butts Co,Jackson,GA,30233,770-775-8209,uge2035@uga.edu
19,Calhoun County,10971 Dickey Street,,Morgan,GA,39866,229-849-2685,uge4037@uga.edu
