id,hud_usps_zip,zcta,match_zip,pov185_pct,eligible,contiguous
1,30002,30002,1,28%,0,0
2,30004,30004,1,11%,0,0
3,30023,30005,0,10%,0,1
4,30008,30008,1,49%,0,1
5,30011,30011,1,30%,0,0
6,30012,30012,1,47%,0,1
7,30013,30013,1,32%,0,0
8,30014,30014,1,37%,0,1
9,30015,30014,0,37%,0,1
10,30016,30016,1,33%,0,1
11,30017,30017,1,19%,0,0
12,30021,30021,1,67%,1,0
13,30022,30022,1,12%,0,0
14,30024,30024,1,11%,0,0
15,30028,30028,1,18%,0,0
16,30031,30030,0,22%,0,1
17,30030,30030,1,22%,0,1
18,30032,30032,1,49%,0,0
19,30033,30033,1,28%,0,0
20,30036,30034,0,33%,0,1
21,30034,30034,1,33%,0,1
22,30037,30034,0,33%,0,1
23,30038,30038,1,32%,0,1
24,30039,30039,1,30%,0,1
25,30041,30041,1,12%,0,0
26,30049,30043,0,26%,0,1
27,30043,30043,1,26%,0,1
28,30042,30044,0,38%,0,1
29,30045,30045,1,26%,0,0
30,30046,30046,1,42%,0,1
31,30048,30047,0,28%,0,1
32,30052,30052,1,26%,0,0
33,30054,30054,1,27%,0,0
34,30055,30055,1,31%,0,0
35,30056,30056,1,35%,0,0
36,30074,30058,0,36%,0,1
37,30058,30058,1,36%,0,1
38,30061,30060,0,51%,1,1
39,30007,30062,0,14%,0,1
40,30065,30062,0,14%,0,1
41,30064,30064,1,16%,0,1
42,30068,30068,1,10%,0,1
43,30070,30070,1,75%,1,1
44,30071,30071,1,51%,1,1
45,30091,30071,0,51%,1,1
46,30072,30072,1,19%,0,1
47,30075,30075,1,12%,0,1
48,30077,30076,0,28%,0,1
49,30078,30078,1,25%,0,0
50,30079,30079,1,36%,0,1
51,30081,30080,0,27%,0,1
52,30086,30083,0,51%,1,1
53,30084,30084,1,28%,0,1
54,30085,30084,0,28%,0,1
55,30087,30087,1,24%,0,0
56,30088,30088,1,38%,0,0
57,30010,30092,0,23%,0,1
58,30003,30093,0,55%,1,1
59,30094,30094,1,27%,0,0
60,30095,30096,0,37%,0,1
61,30097,30097,1,16%,0,1
62,30102,30102,1,30%,0,1
63,30103,30103,1,33%,0,1
64,30104,30104,1,26%,0,0
65,30105,30105,1,18%,0,1
66,30111,30106,0,36%,0,1
67,30106,30106,1,36%,0,1
68,30107,30107,1,22%,0,0
69,30108,30108,1,41%,0,1
70,30110,30110,1,38%,0,1
71,30113,30113,1,41%,0,1
72,30169,30114,0,27%,0,1
73,30114,30114,1,27%,0,1
74,30142,30115,0,15%,0,1
75,30116,30116,1,35%,0,0
76,30112,30117,0,45%,0,1
77,30117,30117,1,45%,0,1
78,30120,30120,1,35%,0,1
79,30123,30121,0,36%,0,1
80,30121,30121,1,36%,0,1
81,30124,30124,1,33%,0,0
82,30125,30125,1,45%,0,1
83,30126,30126,1,26%,0,0
84,30127,30127,1,19%,0,0
85,30134,30134,1,38%,0,1
86,30133,30134,0,38%,0,1
87,30154,30135,0,24%,0,1
88,30137,30137,1,48%,0,1
89,30139,30139,1,39%,0,1
90,30141,30141,1,25%,0,1
91,30143,30143,1,25%,0,1
92,30148,30143,0,25%,0,1
93,30160,30144,0,24%,0,1
94,30144,30144,1,24%,0,1
95,30156,30144,0,24%,0,1
96,30145,30145,1,22%,0,1
97,30147,30147,1,50%,1,0
98,30165,30149,1,9%,0,0
99,30152,30152,1,21%,0,0
100,30153,30153,1,43%,0,1
101,30157,30157,1,27%,0,0
102,30162,30165,0,37%,0,1
103,30164,30165,0,37%,0,1
104,30170,30170,1,32%,0,0
105,30171,30171,1,25%,0,0
106,30173,30173,1,42%,0,0
107,30175,30175,1,32%,0,0
108,30176,30176,1,39%,0,0
109,30177,30177,1,25%,0,1
110,30178,30178,1,40%,0,0
111,30179,30179,1,36%,0,1
112,30180,30180,1,29%,0,1
113,30182,30182,1,26%,0,1
114,30183,30183,1,27%,0,1
115,30184,30184,1,20%,0,0
116,30185,30185,1,30%,0,0
117,30187,30187,1,19%,0,0
118,30188,30188,1,18%,0,1
119,30146,30188,0,18%,0,1
120,30189,30189,1,14%,0,0
121,30204,30204,1,38%,0,0
122,30205,30205,1,13%,0,0
123,30206,30206,1,24%,0,1
124,30213,30213,1,25%,0,1
125,30214,30214,1,21%,0,1
126,30215,30215,1,13%,0,0
127,30216,30216,1,45%,0,1
128,30217,30217,1,40%,0,1
129,30218,30218,1,29%,0,1
130,30220,30220,1,37%,0,1
131,30222,30222,1,50%,1,1
132,30212,30223,0,44%,0,1
133,30266,30224,0,38%,0,1
134,30224,30224,1,38%,0,1
135,30284,30228,0,33%,0,1
136,30228,30228,1,33%,0,1
137,30250,30228,0,33%,0,1
138,30230,30230,1,38%,0,0
139,30234,30234,1,47%,0,0
140,30287,30236,0,44%,0,1
141,30237,30236,0,44%,0,1
142,30238,30238,1,45%,0,1
143,30240,30240,1,39%,0,0
144,30241,30241,1,44%,0,1
145,30261,30241,0,44%,0,1
146,30248,30248,1,30%,0,1
147,30251,30251,1,41%,0,0
148,30252,30252,1,17%,0,0
149,30256,30256,1,34%,0,1
150,30257,30257,1,39%,0,0
151,30258,30258,1,27%,0,0
152,30271,30263,0,34%,0,1
153,30263,30263,1,34%,0,1
154,30264,30263,0,34%,0,1
155,30265,30265,1,17%,0,1
156,30268,30268,1,41%,0,0
157,30269,30269,1,13%,0,0
158,30273,30273,1,33%,0,1
159,30276,30276,1,17%,0,1
160,30277,30277,1,13%,0,0
161,30281,30281,1,31%,0,0
162,30286,30286,1,45%,0,1
163,30285,30286,0,45%,0,1
164,30288,30288,1,34%,0,0
165,30290,30290,1,18%,0,0
166,30291,30291,1,44%,0,0
167,30292,30292,1,28%,0,0
168,30293,30293,1,41%,0,0
169,30294,30294,1,25%,0,0
170,30295,30295,1,32%,0,0
171,30296,30296,1,33%,0,0
172,30298,30297,0,59%,1,1
173,30343,30303,0,72%,1,1
174,30301,30303,0,72%,1,1
175,30355,30305,0,12%,0,1
176,30305,30305,1,12%,0,1
177,31106,30306,0,16%,0,1
