OBJECTID,Join_Count,TARGET_FID,Store_Type,Store_Name,Street_Num,Street_Nam,Addl_Addr,City,ST,Zip5,Zip4,Y,X,Note,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,1,0,FM,ABC Produce Market,5530,Stonewall Tell Rd,,Atlanta,GA,30349,2461,33.60453000000,-84.55199000000,,13,121,01694833,13121,Fulton,Fulton County,06,H1,G4020,122,12060,,A,1364064364.00000000000,19824081.00000000000,+33.7900338,-084.4681816
2,1,1,FM,Adams Family Farm Ii,1469,Wild Turkey Dr,,Gibson,GA,30810,4340,33.23244000000,-82.61469000000,Farm,13,125,00345642,13125,Glascock,Glascock County,06,H1,G4020,,,,A,372283962.00000000000,1847844.00000000000,+33.2274908,-082.6069126
3,1,2,FM,Anwar Farm To Table,645,Willoughby Way NE,,Atlanta,GA,30312,1112,33.76393000000,-84.36617000000,,13,121,01694833,13121,Fulton,Fulton County,06,H1,G4020,122,12060,,A,1364064364.00000000000,19824081.00000000000,+33.7900338,-084.4681816
4,1,3,FM,ATHENS FARMERS MARKET,705,Sunset Dr,,Athens,GA,30606,2211,33.96378000000,-83.41087000000,,13,059,01672699,13059,Clarke,Clarke County,06,H6,G4020,,12020,,C,308738478.00000000000,4741270.00000000000,+33.9521852,-083.3671522
5,1,4,FM,Augusta Locally Grown,898,Weinberger Way,,Evans,GA,30809,4283,33.57296000000,-82.12119000000,,13,073,00348865,13073,Columbia,Columbia County,06,H1,G4020,,12260,,A,751319916.00000000000,45368325.00000000000,+33.5505513,-082.2513613
6,1,5,FM,Augusta Locally Grown - Evans Towne,7022,Evans Town Center Blvd,,Evans,GA,30809,4314,33.54660000000,-82.13095000000,,13,073,00348865,13073,Columbia,Columbia County,06,H1,G4020,,12260,,A,751319916.00000000000,45368325.00000000000,+33.5505513,-082.2513613
7,1,6,FM,Augusta Locally Grown - Friend A Farmer,1,Freedom Way,,Augusta,GA,30904,6285,33.46836000000,-82.02528000000,,13,245,00358024,13245,Richmond,Richmond County,06,H6,G4020,,12260,,C,840008420.00000000000,11042329.00000000000,+33.3614870,-082.0749983
8,1,7,FM,Augusta Locally Grown - Veggie Park,109,Eve St,,Augusta,GA,30904,3003,33.48665000000,-81.99529000000,,13,245,00358024,13245,Richmond,Richmond County,06,H6,G4020,,12260,,C,840008420.00000000000,11042329.00000000000,+33.3614870,-082.0749983
9,1,8,FM,BATTLEFIELD FARMERS MARKET,10052,N Highway 27,,Rock Spring,GA,30739,2121,34.84786000000,-85.25014000000,,13,295,00354216,13295,Walker,Walker County,06,H1,G4020,174,16860,,A,1156146497.00000000000,1672677.00000000000,+34.7358269,-085.3053852
10,1,9,FM,Bell Vegetables,6002,Cass St,,Preston,GA,31824,3410,32.07649000000,-84.53633000000,,13,307,00352287,13307,Webster,Webster County,06,H6,G4020,,,,C,541613480.00000000000,2965864.00000000000,+32.0465538,-084.5532179
11,1,10,FM,Berry Boy Produce NAFNMP,186,Jennifer Ln,,Murrayville,GA,30564,2492,34.50309000000,-83.86189000000,,13,187,00357196,13187,Lumpkin,Lumpkin County,06,H1,G4020,,,,A,732793135.00000000000,3273364.00000000000,+34.5681350,-083.9989062
12,1,11,FM,Bolton Road Farmer's Market,2081,Bolton Rd NW,,Atlanta,GA,30318,1163,33.81258000000,-84.47221000000,,13,121,01694833,13121,Fulton,Fulton County,06,H1,G4020,122,12060,,A,1364064364.00000000000,19824081.00000000000,+33.7900338,-084.4681816
13,1,12,FM,"Brookhaven Farmers Market, Inc",1375,Fernwood Cir Ne,,Brookhaven,GA,30319,3408,33.85984000000,-84.33435000000,,13,089,01687424,13089,DeKalb,DeKalb County,06,H1,G4020,122,12060,,A,693052824.00000000000,9201253.00000000000,+33.7706611,-084.2263431
14,1,13,FM,Buggs Farm,269,Bugg Rd,,Pine Mountain,GA,31822,3214,32.83091000000,-84.96529000000,Farm,13,145,00326700,13145,Harris,Harris County,06,H1,G4020,194,17980,,A,1201461944.00000000000,23488481.00000000000,+32.7315494,-084.9124320
15,1,14,FM,Burke Co School Nutrition Program Farmers Market,855,N Liberty St,,Waynesboro,GA,30830,1259,33.09560000000,-82.01971000000,,13,033,00347944,13033,Burke,Burke County,06,H1,G4020,,12260,,A,2141836290.00000000000,20758798.00000000000,+33.0508189,-082.0115709
16,1,15,FM,Chipley Farmers Market,206,King Ave,,Pine Mountain,GA,31822,8338,32.86263000000,-84.85510000000,,13,145,00326700,13145,Harris,Harris County,06,H1,G4020,194,17980,,A,1201461944.00000000000,23488481.00000000000,+32.7315494,-084.9124320
