OBJECTID,Join_Count,TARGET_FID,STORE_NAME,DISTRICT,COUNTY,PHYSICAL_S,PHYSICAL_C,PHYSICAL_1,PHYSICAL_Z,STORE_TYPE,PHONE,addresses,origAddres,X,Y,address,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,1,0,ADAMS FOOD IGA,GAINESVILLE,WHITE,271 EAST KYTLE STREET,CLEVELAND,GA,30,Supermarket,(706) 348-6226,"271 EAST KYTLE STREET, CLEVELAND, GA","271 EAST KYTLE STREET, CLEVELAND, GA",-83.75751030000,34.59609440000,"271 e kytle st, cleveland, ga 30528, usa",13,311,00326781,13311,White,White County,06,H1,G4020,,,,A,623402113.00000000000,3912827.00000000000,+34.6437760,-083.7434165
2,1,1,ALBANY MCLB COMMISSARY,ALBANY,DOUGHERTY,7501 WOODSON LANE,ALBANY,GA,31,Military Commissary,(229) 435-1721,"7501 WOODSON LANE, ALBANY, GA","7501 WOODSON LANE, ALBANY, GA",-84.05160280000,31.54723650000,"woodson ln, georgia, usa",13,095,00351259,13095,Dougherty,Dougherty County,06,H1,G4020,,10500,,A,851140270.00000000000,15396050.00000000000,+31.5325876,-084.2090400
3,1,2,AUGUSTA IGA #5055,AUGUSTA,RICHMOND,3355 DEANS BRIDGE ROAD,AUGUSTA,GA,30,Supermarket,(706) 796-7916,"3355 DEANS BRIDGE ROAD, AUGUSTA, GA","3355 DEANS BRIDGE ROAD, AUGUSTA, GA",-82.07875940000,33.42025530000,"3355 deans bridge rd, augusta, ga 30906, usa",13,245,00358024,13245,Richmond,Richmond County,06,H6,G4020,,12260,,C,840008420.00000000000,11042329.00000000000,+33.3614870,-082.0749983
4,1,3,BARNEY'S PHARMACY,AUGUSTA,RICHMOND,2604 PEACH ORCHARD ROAD,AUGUSTA,GA,30,Pharmacy/Drugstore,(706) 798-5645,"2604 PEACH ORCHARD ROAD, AUGUSTA, GA","2604 PEACH ORCHARD ROAD, AUGUSTA, GA",-82.01780840000,33.42521990000,"2604 peach orchard rd, augusta, ga 30906, usa",13,245,00358024,13245,Richmond,Richmond County,06,H6,G4020,,12260,,C,840008420.00000000000,11042329.00000000000,+33.3614870,-082.0749983
5,1,4,BARNEY'S PHARMACY #104,AUGUSTA,JEFFERSON,106 SOUTH MAIN STREET,WRENS,GA,30,Pharmacy/Drugstore,(706) 547-4111,"106 SOUTH MAIN STREET, WRENS, GA","106 SOUTH MAIN STREET, WRENS, GA",-82.38902310000,33.20752350000,"106 s main st, wrens, ga 30833, usa",13,163,00345714,13163,Jefferson,Jefferson County,06,H1,G4020,,,,A,1363589315.00000000000,8241827.00000000000,+33.0518741,-082.4190497
6,1,5,BARNEY'S PHARMACY #819,AUGUSTA,JEFFERSON,819 PEACHTREE STREET,LOUISVILLE,GA,30,Pharmacy/Drugstore,(478) 625-8980,"819 PEACHTREE STREET, LOUISVILLE, GA","819 PEACHTREE STREET, LOUISVILLE, GA",-82.41375700000,33.00030500000,"819 peachtree st, louisville, ga 30434, usa",13,163,00345714,13163,Jefferson,Jefferson County,06,H1,G4020,,,,A,1363589315.00000000000,8241827.00000000000,+33.0518741,-082.4190497
7,1,6,BARNEY'S PHARMACY AT FURY'S,AUGUSTA,RICHMOND,215 FURY'S ROAD,AUGUSTA,GA,30,Pharmacy/Drugstore,(706) 863-3456,"215 FURY'S ROAD, AUGUSTA, GA","215 FURY'S ROAD, AUGUSTA, GA",-82.05933480000,33.51630600000,"215 furys ferry rd, augusta, ga 30907, usa",13,245,00358024,13245,Richmond,Richmond County,06,H6,G4020,,12260,,C,840008420.00000000000,11042329.00000000000,+33.3614870,-082.0749983
8,1,7,BELL'S FOOD STORE #1,ATHENS,CLARKE,995 HAWTHORNE AVENUE,ATHENS,GA,30,Supermarket,(706) 548-1307,"995 HAWTHORNE AVENUE, ATHENS, GA","995 HAWTHORNE AVENUE, ATHENS, GA",-83.41407020000,33.97049340000,"995 hawthorne ave, athens, ga 30606, usa",13,059,01672699,13059,Clarke,Clarke County,06,H6,G4020,,12020,,C,308738478.00000000000,4741270.00000000000,+33.9521852,-083.3671522
9,1,8,BELL'S FOOD STORE #10,AUGUSTA,LINCOLN,110 NORTH PEACHTREE STREE,LINCOLNTON,GA,30,Supermarket,(706) 359-5101,"110 NORTH PEACHTREE STREE, LINCOLNTON, GA","110 NORTH PEACHTREE STREE, LINCOLNTON, GA",-82.47620640000,33.79238950000,"110 n peachtree st, lincolnton, ga 30817, usa",13,181,01688000,13181,Lincoln,Lincoln County,06,H1,G4020,,,,A,544880756.00000000000,121517071.00000000000,+33.7921507,-082.4482992
10,1,9,BELL'S FOOD STORE #4,ATHENS,OGLETHORPE,740 ATHENS ROAD,LEXINGTON,GA,30,Supermarket,(706) 743-8352,"740 ATHENS ROAD, LEXINGTON, GA","740 ATHENS ROAD, LEXINGTON, GA",-83.12285640000,33.88419560000,"740 athens rd, lexington, ga 30648, usa",13,221,00351262,13221,Oglethorpe,Oglethorpe County,06,H1,G4020,,12020,,A,1137034476.00000000000,7839343.00000000000,+33.8668062,-083.0740805
11,1,10,BELL'S FOOD STORE #8,ATHENS,OCONEE,2061 HOG MOUNTAIN ROAD,WATKINSVILLE,GA,30,Supermarket,(706) 769-7913,"2061 HOG MOUNTAIN ROAD, WATKINSVILLE, GA","2061 HOG MOUNTAIN ROAD, WATKINSVILLE, GA",-83.43892580000,33.87360510000,"2061 hog mountain rd, watkinsville, ga 30677, usa",13,219,00356774,13219,Oconee,Oconee County,06,H1,G4020,,12020,,A,477395748.00000000000,5305651.00000000000,+33.8341247,-083.4377284
12,1,11,BELL'S FOOD STORE #9,ATHENS,JACKSON,1325 WASHINGTON STREET,JEFFERSON,GA,30,Supermarket,(706) 367-9950,"1325 WASHINGTON STREET, JEFFERSON, GA","1325 WASHINGTON STREET, JEFFERSON, GA",-83.58923900000,34.13017000000,"1325 washington st, jefferson, ga 30549, usa",13,157,00349570,13157,Jackson,Jackson County,06,H1,G4020,,,,A,879716306.00000000000,8906799.00000000000,+34.1341570,-083.5651332
13,1,12,BI-LO #5022,WAYCROSS,CANDLER,155 SOUTH LEROY STREET,METTER,GA,30,Supermarket,(912) 685-3005,"155 SOUTH LEROY STREET, METTER, GA","155 SOUTH LEROY STREET, METTER, GA",-82.05790910000,32.39631530000,"155 s leroy st, metter, ga 30439, usa",13,043,00342852,13043,Candler,Candler County,06,H1,G4020,,,,A,629495388.00000000000,15043723.00000000000,+32.4039971,-082.0713100
14,1,13,BI-LO #5031,AUGUSTA,JENKINS,540 EAST WINTHROP AVENUE,MILLEN,GA,30,Supermarket,(478) 982-7736,"540 EAST WINTHROP AVENUE, MILLEN, GA","540 EAST WINTHROP AVENUE, MILLEN, GA",-81.93992730000,32.80309360000,"540 e winthrope ave, millen, ga 30442, usa",13,165,00342985,13165,Jenkins,Jenkins County,06,H1,G4020,,,,A,899449076.00000000000,13452217.00000000000,+32.7945631,-081.9715244
15,1,14,BI-LO #5103,AUGUSTA,COLUMBIA,500 FURY'S FERRY ROAD,MARTINEZ,GA,30,Supermarket,(706) 863-0975,"500 FURY'S FERRY ROAD, MARTINEZ, GA","500 FURY'S FERRY ROAD, MARTINEZ, GA",-82.08080150000,33.53644320000,"500 furys ferry rd, augusta, ga 30907, usa",13,073,00348865,13073,Columbia,Columbia County,06,H1,G4020,,12260,,A,751319916.00000000000,45368325.00000000000,+33.5505513,-082.2513613
16,1,15,BI-LO #5173,GAINESVILLE,FRANKLIN,1041 FRANKLIN SPRINGS STR,ROYSTON,GA,30,Supermarket,(706) 245-6345,"1041 FRANKLIN SPRINGS STR, ROYSTON, GA","1041 FRANKLIN SPRINGS STR, ROYSTON, GA",-83.12855970000,34.28373240000,"1041 franklin springs st, royston, ga 30662, usa",13,119,00349324,13119,Franklin,Franklin County,06,H1,G4020,,,,A,677301787.00000000000,12803554.00000000000,+34.3751554,-083.2272905
