county,st_fips,cty_fips,stcty_fips,state,fullname
Greene County,13,133,13133,GA,"Greene County, GA"
Pulaski County,13,235,13235,GA,"Pulaski County, GA"
Columbia County,13,73,13073,GA,"Columbia County, GA"
Murray County,13,213,13213,GA,"Murray County, GA"
Glascock County,13,125,13125,GA,"Glascock County, GA"
Dade County,13,83,13083,GA,"Dade County, GA"
Dougherty County,13,95,13095,GA,"Dougherty County, GA"
Bulloch County,13,31,13031,GA,"Bulloch County, GA"
Treutlen County,13,283,13283,GA,"Treutlen County, GA"
Macon County,13,193,13193,GA,"Macon County, GA"
Seminole County,13,253,13253,GA,"Seminole County, GA"
Polk County,13,233,13233,GA,"Polk County, GA"
Brantley County,13,25,13025,GA,"Brantley County, GA"
Union County,13,291,13291,GA,"Union County, GA"
Lanier County,13,173,13173,GA,"Lanier County, GA"
Fayette County,13,113,13113,GA,"Fayette County, GA"
Haralson County,13,143,13143,GA,"Haralson County, GA"
Walker County,13,295,13295,GA,"Walker County, GA"
Oconee County,13,219,13219,GA,"Oconee County, GA"
Butts County,13,35,13035,GA,"Butts County, GA"
Harris County,13,145,13145,GA,"Harris County, GA"
Taliaferro County,13,265,13265,GA,"Taliaferro County, GA"
Wayne County,13,305,13305,GA,"Wayne County, GA"
Bryan County,13,29,13029,GA,"Bryan County, GA"
Cobb County,13,67,13067,GA,"Cobb County, GA"
Rabun County,13,241,13241,GA,"Rabun County, GA"
Gilmer County,13,123,13123,GA,"Gilmer County, GA"
Wilcox County,13,315,13315,GA,"Wilcox County, GA"
Emanuel County,13,107,13107,GA,"Emanuel County, GA"
Meriwether County,13,199,13199,GA,"Meriwether County, GA"
Ware County,13,299,13299,GA,"Ware County, GA"
Clarke County,13,59,13059,GA,"Clarke County, GA"
Bartow County,13,15,13015,GA,"Bartow County, GA"
Washington County,13,303,13303,GA,"Washington County, GA"
Miller County,13,201,13201,GA,"Miller County, GA"
Muscogee County,13,215,13215,GA,"Muscogee County, GA"
Peach County,13,225,13225,GA,"Peach County, GA"
Jeff Davis County,13,161,13161,GA,"Jeff Davis County, GA"
Clinch County,13,65,13065,GA,"Clinch County, GA"
Effingham County,13,103,13103,GA,"Effingham County, GA"
Douglas County,13,97,13097,GA,"Douglas County, GA"
Gwinnett County,13,135,13135,GA,"Gwinnett County, GA"
Fannin County,13,111,13111,GA,"Fannin County, GA"
Dooly County,13,93,13093,GA,"Dooly County, GA"
Johnson County,13,167,13167,GA,"Johnson County, GA"
Paulding County,13,223,13223,GA,"Paulding County, GA"
Upson County,13,293,13293,GA,"Upson County, GA"
Coweta County,13,77,13077,GA,"Coweta County, GA"
Early County,13,99,13099,GA,"Early County, GA"
Irwin County,13,155,13155,GA,"Irwin County, GA"
Houston County,13,153,13153,GA,"Houston County, GA"
Sumter County,13,261,13261,GA,"Sumter County, GA"
Elbert County,13,105,13105,GA,"Elbert County, GA"
Baker County,13,7,13007,GA,"Baker County, GA"
Barrow County,13,13,13013,GA,"Barrow County, GA"
Jasper County,13,159,13159,GA,"Jasper County, GA"
DeKalb County,13,89,13089,GA,"DeKalb County, GA"
Calhoun County,13,37,13037,GA,"Calhoun County, GA"
Screven County,13,251,13251,GA,"Screven County, GA"
Wilkes County,13,317,13317,GA,"Wilkes County, GA"
Walton County,13,297,13297,GA,"Walton County, GA"
Laurens County,13,175,13175,GA,"Laurens County, GA"
Tift County,13,277,13277,GA,"Tift County, GA"
Spalding County,13,255,13255,GA,"Spalding County, GA"
Chattooga County,13,55,13055,GA,"Chattooga County, GA"
Jones County,13,169,13169,GA,"Jones County, GA"
Oglethorpe County,13,221,13221,GA,"Oglethorpe County, GA"
Coffee County,13,69,13069,GA,"Coffee County, GA"
Candler County,13,43,13043,GA,"Candler County, GA"
Schley County,13,249,13249,GA,"Schley County, GA"
Turner County,13,287,13287,GA,"Turner County, GA"
Talbot County,13,263,13263,GA,"Talbot County, GA"
Cook County,13,75,13075,GA,"Cook County, GA"
Brooks County,13,27,13027,GA,"Brooks County, GA"
Lumpkin County,13,187,13187,GA,"Lumpkin County, GA"
