OBJECTID,Join_Count,TARGET_FID,Type,County,Name,email,phone,WebSite,County_Dir,district,Address1,Address2,City,Zip,addresses,origAddres,X,Y,address,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME_1,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
1,1,0,UGA Extension,Appling County,UGA Extension-Appling County,uge3001@uga.edu,912-367-8130,http://extension.uga.edu/county-offices/appling.html,,,83 South Oak St.,,Baxley,31513,"83 South Oak St., Baxley, GA","83 South Oak St., Baxley, GA",-82.3452206,31.7761805,"83 oak st, baxley, ga 31513, usa",13,1,349113,13001,Appling,Appling County,6,H1,G4020,,,,A,1313330435,13420894,31.739712,-82.2901025
2,1,1,UGA Extension,Atkinson County,UGA Extension-Atkinson County,uge4003@uga.edu,912-422-3277,http://extension.uga.edu/county-offices/atkinson.html,,,636 Austin Ave. East,,Pearson,31642,"636 Austin Ave. East, Pearson, GA","636 Austin Ave. East, Pearson, GA",-82.8425087,31.2926525,"636 e austin ave, pearson, ga 31642, usa",13,3,345784,13003,Atkinson,Atkinson County,6,H1,G4020,,20060,,A,879043407,13294251,31.2966774,-82.8780668
3,1,2,UGA Extension,Bacon County,UGA Extension-Bacon County,uge4005@uga.edu,912-632-5601,http://extension.uga.edu/county-offices/bacon.html,,,203 South Dixon Street,"Ag Complex, Suite 3",Alma,31510,"203 South Dixon Street, Alma, GA","203 South Dixon Street, Alma, GA",-82.4690987,31.541187,"203 s dixon st, alma, ga 31510, usa",13,5,344784,13005,Bacon,Bacon County,6,H1,G4020,,,,A,670556131,69720651,31.5633274,-82.3878591
4,1,3,UGA Extension,Baker County,UGA Extension-Baker County,uge4007@uga.edu,229-734-3015,http://extension.uga.edu/county-offices/baker.html,,,398 GA Highway 37 SW,Department 1,Newton,39870,"398 GA Highway 37 SW, Newton, GA","398 GA Highway 37 SW, Newton, GA",-84.3489673,31.3117906,"398 ga-37, newton, ga 39870, usa",13,7,342832,13007,Baker,Baker County,6,H1,G4020,,10500,,A,885630009,18634073,31.3195798,-84.4548812
5,1,4,UGA Extension,Baldwin County,UGA Extension-Baldwin County,uge3009@uga.edu,478-445-4394,http://extension.uga.edu/county-offices/baldwin.html,,,320 Linda Drive NE,,Milledgeville,31061,"320 Linda Drive NE, Milledgeville, GA","320 Linda Drive NE, Milledgeville, GA",-83.2296083,33.1011862,"320 linda dr ne, milledgeville, ga 31061, usa",13,9,345255,13009,Baldwin,Baldwin County,6,H1,G4020,,33300,,A,669822405,25008132,33.0595037,-83.2554522
6,1,5,UGA Extension,Banks County,UGA Extension-Banks County,uge1011@uga.edu,706-677-6230,http://extension.uga.edu/county-offices/banks.html,,,413 Evans Street,,Homer,30547,"413 Evans Street, Homer, GA","413 Evans Street, Homer, GA",-83.500085,34.3228208,"413 evans st, homer, ga 30547, usa",13,11,349230,13011,Banks,Banks County,6,H1,G4020,,,,A,601112294,4651147,34.3519216,-83.4984409
7,1,6,UGA Extension,Barrow County,UGA Extension-Barrow County,uge1013@uga.edu,770-307-3029,http://extension.uga.edu/county-offices/barrow.html,,,"90 Lanthier Street, Suite B",,Winder,30680,"90 Lanthier Street, Suite B, Winder, GA","90 Lanthier Street, Suite B, Winder, GA",-83.7231098,33.9860744,"90 lanthier suite b, winder, ga 30680, usa",13,13,356976,13013,Barrow,Barrow County,6,H1,G4020,122,12060,,A,415375392,6640880,33.9920094,-83.7123025
8,1,7,UGA Extension,Bartow County,UGA Extension-Bartow County,uge1015@uga.edu,770-387-5142,http://extension.uga.edu/county-offices/bartow.html,,,320 West Cherokee Avenue,Room 112,Cartersville,30120-3059,"320 West Cherokee Avenue, Cartersville, GA","320 West Cherokee Avenue, Cartersville, GA",-84.8049299,34.1648294,"320 w cherokee ave, cartersville, ga 30120, usa",13,15,351604,13015,Bartow,Bartow County,6,H1,G4020,122,12060,,A,1190219094,27368340,34.2409175,-84.8381879
9,1,8,UGA Extension,Ben Hill County,UGA Extension-Ben Hill County,uge4017@uga.edu,229-426-5175,http://extension.uga.edu/county-offices/benhill.html,,,406 West Palm Street,,Fitzgerald,31750,"406 West Palm Street,  Fitzgerald, GA","406 West Palm Street,  Fitzgerald, GA",-83.2589221,31.7097826,"406 w palm st, fitzgerald, ga 31750, usa",13,17,351606,13017,Ben Hill,Ben Hill County,6,H1,G4020,,22340,,A,647809289,9807002,31.7407755,-83.1471898
10,1,9,UGA Extension,Berrien County,UGA Extension-Berrien County,uge4019@uga.edu,229-686-5431,http://extension.uga.edu/county-offices/berrien.html,,,"516A County Farm Road, Ste 1",,Nashville,31639,"516A County Farm Road, Ste 1, Nashville, GA","516A County Farm Road, Ste 1, Nashville, GA",-83.2648644,31.1917453,"516a county farm rd #1, nashville, ga 31639, usa",13,19,326638,13019,Berrien,Berrien County,6,H1,G4020,,,,A,1170431627,15479200,31.274308,-83.2319058
