store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips
QUIK STOP,st_052663,117,Broad St S,NA,Abbeville,GA,31001,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,0,2008,2017,-83.30695,31.99211,usda,NA,0,NA,L034992,13
K W Fast-Stop,st_079900,303,N Broad St,NA,Abbeville,GA,31001,Convenience Store,3,Small retail,4,1,1,1,1,1,1,1,1,1,1,0,2008,2017,-83.30687,31.99366,usda,NA,0,NA,L034993,13
THE PIGLET SUPERMARKET 49,st_025517,337,Main St E,NA,Abbeville,GA,31001,Medium Grocery Store,10,Grocer,1,1,1,1,1,1,1,1,1,1,1,0,2008,2017,-83.29586,31.99371,usda,NA,0,NA,L034994,13
Rite Aid 11732,st_108489,3245,Cobb Pkwy NW,NA,Acworth,GA,30101,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,0,0,2008,2016,-84.67609692,34.03427884,esri,PointAddress,0,NA,L034995,13
La Foi Tropicale,st_314041,4680,S Main St,NA,Acworth,GA,30101,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,1,0,0,0,0,0,2013,2013,-84.67339642,34.06444458,esri,StreetAddress,0,NA,L034996,13
Family Dollar Store 5651,st_185636,5540,Bells Ferry Rd,NA,Acworth,GA,30102,Combination Grocery/Other,2,Small retail,4,0,1,1,1,1,1,0,0,0,0,0,2009,2013,-84.57564412,34.08532125,esri,PointAddress,0,NA,L034997,13
BEBE REY,st_217584,5681,Bells Ferry Rd,Ste B,Acworth,GA,30102,Combination Grocery/Other,2,Small retail,4,0,0,1,0,0,0,0,0,0,0,0,2010,2010,-84.57695552,34.08739995,esri,StreetAddress,0,NA,L034998,13
Acworth BP,st_280692,3459,Cobb Pkwy NW,NA,Acworth,GA,30101,Convenience Store,3,Small retail,4,0,0,0,0,1,1,1,1,1,1,0,2012,2017,-84.69041,34.03824,usda,NA,0,NA,L034999,13
Acworth Food Mart,st_221549,4138,S Main St,NA,Acworth,GA,30101,Convenience Store,3,Small retail,4,0,0,1,0,0,0,0,0,0,0,0,2010,2010,-84.66371757,34.05482589,esri,PointAddress,0,NA,L035000,13
Acworth Corner Store,st_258439,4138,S Main St,NA,Acworth,GA,30101,Convenience Store,3,Small retail,4,0,0,0,1,1,1,0,0,0,0,0,2011,2013,-84.66371757,34.05482589,esri,PointAddress,0,NA,L035000,13
