Source,Exclusive,OBJECTID,Join_Count,TARGET_FID,fid_,store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_grou,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,st_fips,Join_Cou_1,TARGET_F_1,STATEFP,COUNTYFP,GEOID,NAME,NAME_CAP,NAMELSAD,GISJOIN,Cty_ID,GA_AAA
SNAP,SNAP Exclusive,8666,1,98,0,1 Pot Seafood,st_348971,412,Highway 155 S,,Mcdonough,GA,30253,Small Grocery Store,14,Grocer,1,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.15256,33.41937,usda,,0,SG,L151405,13,1,8665,13,151,13151,Henry,HENRY,Henry County,G1301510,13151,3
SNAP,SNAP Exclusive,8667,1,142,0,107 Express,st_339827,178,Benjamin H Hill Dr W,,Fitzgerald,GA,31750,Convenience Store,3,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-83.25282,31.69238,usda,,0,CS,L151473,13,1,8666,13,17,13017,Ben Hill,BEN HILL,Ben Hill County,G1300170,13017,11
SNAP,SNAP Exclusive,8668,1,108,0,129 Shell Food Mart,st_317471,3509,Al Mangum Rd,,Talmo,GA,30575,Convenience Store,3,Small retail,4,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-83.73309,34.22396,usda,,0,CS,L151565,13,1,8667,13,139,13139,Hall,HALL,Hall County,G1301390,13139,2
SNAP,SNAP Exclusive,8669,1,98,0,138 Fish Market,st_402481,879,Highway 138 W,,Stockbridge,GA,30281,Seafood Specialty,13,Specialty,5,0,0,0,0,0,0,0,0,0,1,1,2017,2018,-84.28306,33.54293,usda,,0,SE,L151591,13,1,8668,13,151,13151,Henry,HENRY,Henry County,G1301510,13151,3
SNAP,SNAP Exclusive,8670,1,158,0,14th Street Gas Station,st_398189,329,14th St Nw,,Atlanta,GA,30318,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,1,1,1,2016,2018,-84.39797,33.78621,usda,,0,CS,L151626,13,1,8669,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP Exclusive,8671,1,158,0,14th Street Texaco Food Mart,st_417627,608,14th St Nw,,Atlanta,GA,30318,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,0,1,1,2017,2018,-84.40707,33.7862,usda,,0,CS,L151627,13,1,8670,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP Exclusive,8672,1,54,0,157 Braselton Llc,st_359335,983,Highway 124,,Hoschton,GA,30548,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-83.81129,34.09335,usda,,0,CS,L151644,13,1,8671,13,13,13013,Barrow,BARROW,Barrow County,G1300130,13013,5
SNAP,SNAP Exclusive,8673,1,158,0,164 Marietta LLC dba Circle K,st_414205,1720,Marietta Blvd Nw,,Atlanta,GA,30318,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,0,0,1,1,2017,2018,-84.4361,33.80174,usda,,0,CS,L151670,13,1,8672,13,121,13121,Fulton,FULTON,Fulton County,G1301210,13121,3
SNAP,SNAP Exclusive,8674,1,39,0,1780 Country Store,st_346645,2991,US Highway 80,,Bloomingdale,GA,31302,Convenience Store,3,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-81.34168,32.14721,usda,,0,CS,L151704,13,1,8673,13,103,13103,Effingham,EFFINGHAM,Effingham County,G1301030,13103,12
SNAP,SNAP Exclusive,8675,1,96,0,19th Hole Chevron,st_356184,10490,Bells Ferry Rd,,Canton,GA,30114,Convenience Store,3,Small retail,4,0,0,0,0,0,0,0,1,1,1,1,2015,2018,-84.53873,34.19239,usda,,0,CS,L151756,13,1,8674,13,57,13057,Cherokee,CHEROKEE,Cherokee County,G1300570,13057,3
